geo,text,user,user_location
,Sat in Departures at Barcelona Airport seeing people arrive for Primavera Weekend 2 https://t.co/QzQsiy2kLH,josefbone,Nottingham
,"RT @deukaefied: Dreamcatcher on Primavera Sound Barcelona Archive ~
- Departure Fancam at Incheon Airport
- Departure Picture 
- Dramcatche…",Sapphire_pie,"Buenos Aires, Argentina"
,"RT @deukaefied: Dreamcatcher on Primavera Sound Barcelona Archive ~
- Departure Fancam at Incheon Airport
- Departure Picture 
- Dramcatche…",deardoorsss,
,i just had my movie moment running through the barcelona airport to kiss goodbye at the gate to the girl I started… https://t.co/LxIz2eI1VX,zooweee_mama,nola bb
,"RT @deukaefied: Dreamcatcher on Primavera Sound Barcelona Archive ~
- Departure Fancam at Incheon Airport
- Departure Picture 
- Dramcatche…",alicechi0911,
,I always wonder who made this mosaic that is made on the top side of the counters at #Barcelona airport… https://t.co/isQnoqrfkG,donadulcinea,Maastricht
,"Screaming crying and throwing up in barcelona airport, not a single morsel of my whole entire soul wants to leave",danxsleep,
,@anguscloud important question but are you in the barcelona airport (if not i found your lost twin),mollyj421,
,"@Cardiff_Airport is the gateway to Wales, handling over a million passengers a year with over 50 direct routes and… https://t.co/WHvI1H4lv3",fly2wales,"Wales, United Kingdom"
,"TRVL to BCN? 🧳

Book your flights from Liverpool to Barcelona with:

Lufthansa 👉 https://t.co/cng5lDkbKp
Ryanair 👉… https://t.co/rVhqcVJnQy",LPL_Airport,"Liverpool, UK"
,I’m a big fan of 7am pints at the airport!!! See you lot in Barcelona 💃🏾💃🏾,itsnickcharles,"Manchester, England"
,"RT @deukaefied: Dreamcatcher on Primavera Sound Barcelona Archive ~
- Departure Fancam at Incheon Airport
- Departure Picture 
- Dramcatche…",stanmates,Guitar covers below! 
,"Dreamcatcher on Primavera Sound Barcelona Archive ~
- Departure Fancam at Incheon Airport
- Departure Picture 
- Dr… https://t.co/JylpfIHh1a",deukaefied,
,Flight Number #BA472 From #LHR (London Heathrow) to #BCN (Barcelona Airport) has departed,LHRDepartureBot,
,How to Get from Seville Airport to the City https://t.co/HEIWXMRc8I,_Barcelona__,
,@bgmasters Recently used similar touch screen in Barcelona airport McDonalds. Was super quick and easy to figure ou… https://t.co/5E32TiiLmF,dmbdmg,"Highlands Ranch, CO"
,The weather is gonna be shit this entire week and I’m so happy on my way to the airport to leave for the week becuz… https://t.co/LBrM2GXj5S,_cyyndaquil,"she/her • 27 • SLC, UT"
,"@JamesBolam @Brenyaman @antoniomunozsev @Ayto_Sevilla @TurismoAND @aeropuertoSVQ Yep, I am visiting my Mum in Somer… https://t.co/Ys2aQX0DEV",ExpoSpurs,"Sevilla, España"
,@esther_kiers @Schiphol Barcelona El Prat airport seemed fine when we landed two weeks earlier. Maybe it's worse now?,jamesworkmann,
,@SeanMukherjee @Ange80 @drkathyhall @amanpour @RafaelNadal @cnni @PBS @Wimbledon @nm_fitpro He had the new treatmen… https://t.co/NX3megIn1I,Betty_A_Scott,
,2 hour delay at Barcelona airport and then whatever Manchester airport has to throw at us… fun! Had such a great ho… https://t.co/YTYkrHLqGG,RipRideVlogIt,
,@prairiecentrist @djbip1986 @BerlinskyJohn @duncandee Fair but that's just anecdotal. I just came back from Europe.… https://t.co/t0Wh0kevSa,alexisking69,
,@AJA_Cortes I had a stopover in Barcelona Airport. There were three guys looks who looked Russian. One was on the w… https://t.co/G5nG2OEZ9D,GuruAnaerobic,London
